AVAPS-T01 STA 132855101 140630 171042.59
AVAPS-T01 COM            UTC     UTC      Wind   Vert      GPS        GPS     Geopoten GPS Wind    GPS   
AVAPS-T01 COM   Sonde    Date    Time     Spd    Veloc  Longitude   Latitude  Altitude Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat (m/s)    (m)  
AVAPS-T01 COM --------- ------ --------- ------ ------ ----------- ---------- -------- --- ----- --------
AVAPS-T01 LAU 132855101 140630 173013.75                                                                 
AVAPS-D01 A00 132855101 140630 173014.00  11.16  -0.51  -80.123600  28.575800  3195.30   0  0.00  3206.50
AVAPS-D01 P00 132855101 140630 173003.75 114.65   0.56  -80.136220  28.575514 99999.00  12  1.40  3170.41
AVAPS-D01 P10 132855101 140630 173004.00 114.84   0.65  999.000000  99.000000 99999.00  12  1.40 99999.00
AVAPS-D01 P00 132855101 140630 173004.25 114.92   0.66  -80.135634  28.575530 99999.00  12  1.40  3170.91
AVAPS-D01 P10 132855101 140630 173004.50 114.94   0.66  999.000000  99.000000 99999.00  12  1.40 99999.00
AVAPS-D01 P00 132855101 140630 173004.75 114.81   0.57  -80.135048  28.575545 99999.00  12  1.40  3171.32
AVAPS-D01 P10 132855101 140630 173005.00 114.95   0.57  999.000000  99.000000 99999.00  12  1.38 99999.00
AVAPS-D01 P00 132855101 140630 173005.25 114.91   0.58  -80.134461  28.575560 99999.00  12  1.38  3171.90
AVAPS-D01 P10 132855101 140630 173005.50 114.76   0.56  999.000000  99.000000 99999.00  12  1.38 99999.00
AVAPS-D01 P00 132855101 140630 173005.75 114.88   0.53  -80.133875  28.575575 99999.00  12  1.38  3172.32
AVAPS-D01 P10 132855101 140630 173006.00 114.70   0.50  999.000000  99.000000 99999.00  12  1.38 99999.00
AVAPS-D01 P00 132855101 140630 173006.25 114.76   0.52  -80.133290  28.575589 99999.00  12  1.38  3172.79
AVAPS-D01 P10 132855101 140630 173006.50 114.53   0.47  999.000000  99.000000 99999.00  12  1.38 99999.00
AVAPS-D01 P00 132855101 140630 173006.75 114.68   0.33  -80.132704  28.575603 99999.00  12  1.40  3172.88
AVAPS-D01 P10 132855101 140630 173007.00 114.77   0.34  999.000000  99.000000 99999.00  12  1.41 99999.00
AVAPS-D01 P00 132855101 140630 173007.25 114.87   0.34  -80.132118  28.575618 99999.00  12  1.42  3173.37
AVAPS-D01 P10 132855101 140630 173007.50 114.76   0.27  999.000000  99.000000 99999.00  12  1.43 99999.00
AVAPS-D01 P00 132855101 140630 173007.75 114.69   0.32  -80.131532  28.575632 99999.00  12  1.44  3173.60
AVAPS-D01 P10 132855101 140630 173008.00 114.69   0.32  999.000000  99.000000 99999.00  12  1.46 99999.00
AVAPS-D01 P00 132855101 140630 173008.25 114.50   0.16  -80.130947  28.575648 99999.00  12  1.48  3173.69
AVAPS-D01 P10 132855101 140630 173008.50 114.42   0.09  999.000000  99.000000 99999.00  12  1.49 99999.00
AVAPS-D01 P00 132855101 140630 173008.75 114.50   0.05  -80.130362  28.575662 99999.00  12  1.50  3173.95
AVAPS-D01 P10 132855101 140630 173009.00 114.69   0.05  999.000000  99.000000 99999.00  12  1.50 99999.00
AVAPS-D01 P00 132855101 140630 173009.25 114.77   0.07  -80.129774  28.575676 99999.00  12  1.51  3174.29
AVAPS-D01 P10 132855101 140630 173009.50 114.71   0.06  999.000000  99.000000 99999.00  12  1.51 99999.00
AVAPS-D01 P00 132855101 140630 173009.75 114.87  -0.00  -80.129187  28.575690 99999.00  12  1.50  3174.60
AVAPS-D01 P10 132855101 140630 173010.00 114.52  -0.08  999.000000  99.000000 99999.00  12  1.50 99999.00
AVAPS-D01 P00 132855101 140630 173010.25 114.95  -0.11  -80.128599  28.575702 99999.00  12  1.49  3174.11
AVAPS-D01 P10 132855101 140630 173010.50 115.08  -0.18  999.000000  99.000000 99999.00  12  1.46 99999.00
AVAPS-D01 P00 132855101 140630 173010.75 115.19  -0.21  -80.128008  28.575715 99999.00  12  1.45  3173.75
AVAPS-D01 P10 132855101 140630 173011.00 115.19  -0.26  999.000000  99.000000 99999.00  12  1.45 99999.00
AVAPS-D01 P00 132855101 140630 173011.25 114.87  -0.29  -80.127420  28.575729 99999.00  12  1.45  3173.58
AVAPS-D01 P10 132855101 140630 173011.50 114.96  -0.20  999.000000  99.000000 99999.00  12  1.46 99999.00
AVAPS-D01 P00 132855101 140630 173011.75 114.75  -0.33  -80.126832  28.575741 99999.00  12  1.46  3173.60
AVAPS-D01 P10 132855101 140630 173012.00 114.70  -0.35  999.000000  99.000000 99999.00  12  1.47 99999.00
AVAPS-D01 P00 132855101 140630 173012.25 115.03  -0.41  -80.126243  28.575754 99999.00  12  1.47  3173.50
AVAPS-D01 P10 132855101 140630 173012.50 114.86  -0.82  999.000000  99.000000 99999.00  12  1.47 99999.00
AVAPS-D01 P00 132855101 140630 173012.75 114.70  -1.70  -80.125656  28.575764 99999.00  12  1.47  3172.06
AVAPS-D01 P10 132855101 140630 173013.00 114.20  -2.25  999.000000  99.000000 99999.00  12  1.48 99999.00
AVAPS-D01 P00 132855101 140630 173013.25 113.87  -2.68  -80.125075  28.575777 99999.00  12  1.48  3170.82
AVAPS-D01 P10 132855101 140630 173013.50 114.05  -3.04  999.000000  99.000000 99999.00  12  1.48 99999.00
AVAPS-D01 S00 132855101 140630 173013.75 114.05  -3.18  -80.124492  28.575790 99999.00  12  1.48  3169.62
AVAPS-D01 S10 132855101 140630 173014.00 113.67  -3.47  999.000000  99.000000 99999.00  12  1.51 99999.00
AVAPS-D01 S00 132855101 140630 173014.25 112.97  -3.50  -80.123915  28.575810 99999.00  12  1.51  3168.73
AVAPS-D01 S10 132855101 140630 173014.50 103.13  -2.78  999.000000  99.000000 99999.00   9  3.54 99999.00
AVAPS-D01 S00 132855101 140630 173014.75  95.10  -0.43  -80.123467  28.575839 99999.00   9  4.46  3178.02
AVAPS-D01 S10 132855101 140630 173015.00  74.92  -6.41  999.000000  99.000000 99999.00   9  5.67 99999.00
AVAPS-D01 S00 132855101 140630 173015.25  63.01  -6.18  -80.123208  28.575841 99999.00   8  6.52  3164.77
AVAPS-D01 S10 132855101 140630 173015.50  38.74  -7.70  999.000000  99.000000 99999.00   7  5.99 99999.00
AVAPS-D01 S00 132855101 140630 173015.75  24.98  -8.29  -80.123192  28.575778 99999.00   7  5.19  3160.05
AVAPS-D01 S10 132855101 140630 173016.00  15.23  -8.52  999.000000  99.000000 99999.00  10  3.50 99999.00
AVAPS-D01 S00 132855101 140630 173016.25  13.12  -9.62  -80.123264  28.575691 99999.00  10  2.71  3160.08
AVAPS-D01 S10 132855101 140630 173016.50  11.93 -10.87  999.000000  99.000000 99999.00  10  2.30 99999.00
AVAPS-D01 S00 132855101 140630 173016.75  11.80 -11.89  -80.123320  28.575611 99999.00  10  1.98  3154.61
AVAPS-D01 S10 132855101 140630 173017.00  11.43 -12.55  999.000000  99.000000 99999.00  10  2.03 99999.00
AVAPS-D01 S00 132855101 140630 173017.25  11.20 -13.24  -80.123373  28.575557  3171.91  10  1.95  3175.55
AVAPS-D01 S10 132855101 140630 173017.50  12.25 -13.78  999.000000  99.000000 99999.00  10  1.59 99999.00
AVAPS-D01 S00 132855101 140630 173017.75  12.27 -14.17  -80.123431  28.575497  3156.47  11  1.30  3165.72
AVAPS-D01 S10 132855101 140630 173018.00  12.67 -14.31  999.000000  99.000000 99999.00  10  1.26 99999.00
AVAPS-D01 S00 132855101 140630 173018.25  13.30 -14.58  -80.123483  28.575446  3158.40  10  1.10  3155.18
AVAPS-D01 S10 132855101 140630 173018.50  12.73 -14.90  999.000000  99.000000 99999.00  11  1.09 99999.00
AVAPS-D01 S00 132855101 140630 173018.75  12.42 -15.14  -80.123520  28.575388  3140.97  11  1.05  3145.72
AVAPS-D01 S10 132855101 140630 173019.00  12.06 -15.32  999.000000  99.000000 99999.00  11  0.90 99999.00
AVAPS-D01 S00 132855101 140630 173019.25  11.69 -15.63  -80.123554  28.575332  3141.69  11  0.78  3136.65
AVAPS-D01 S10 132855101 140630 173019.50  11.66 -16.05  999.000000  99.000000 99999.00  11  0.70 99999.00
AVAPS-D01 S00 132855101 140630 173019.75  10.76 -16.22  -80.123587  28.575281  3129.01  11  0.68  3127.59
AVAPS-D01 S10 132855101 140630 173020.00  11.21 -16.23  999.000000  99.000000 99999.00  11  0.72 99999.00
AVAPS-D01 S00 132855101 140630 173020.25  11.54 -16.34  -80.123622  28.575234  3119.37  11  0.66  3118.89
AVAPS-D01 S10 132855101 140630 173020.50  11.82 -16.72  999.000000  99.000000 99999.00  11  0.65 99999.00
AVAPS-D01 S00 132855101 140630 173020.75  12.16 -17.13  -80.123663  28.575190  3109.32  10  0.61  3109.43
AVAPS-D01 S10 132855101 140630 173021.00  12.69 -17.21  999.000000  99.000000 99999.00  10  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173021.25  12.49 -17.23  -80.123710  28.575146  3100.48  11  0.71  3100.27
AVAPS-D01 S10 132855101 140630 173021.50  12.83 -17.21  999.000000  99.000000 99999.00  11  0.73 99999.00
AVAPS-D01 S00 132855101 140630 173021.75  12.70 -17.13  -80.123755  28.575101  3094.67  11  0.69  3091.44
AVAPS-D01 S10 132855101 140630 173022.00  12.35 -17.17  999.000000  99.000000 99999.00  11  0.67 99999.00
AVAPS-D01 S00 132855101 140630 173022.25  12.19 -17.17  -80.123798  28.575058  3082.76  11  0.68  3082.83
AVAPS-D01 S10 132855101 140630 173022.50  12.26 -17.05  999.000000  99.000000 99999.00  12  0.69 99999.00
AVAPS-D01 S00 132855101 140630 173022.75  11.70 -16.88  -80.123850  28.575017  3089.68  12  0.65  3074.82
